,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,fixture,goals_conceded,minutes
775,2016-17,Salomón Rondón,FWD,120,9.5,3,Burnley,190093,9,65,TRUE,12,16.1,48.2,31,19063,21829,120,0,78
780,2016-17,Sergio Agüero,FWD,111,5.7,5,Crystal Palace,1932218,2,132,FALSE,12,6.4,0,52,54258,28273,111,1,85
782,2016-17,Shane Long,FWD,115,0.3,9,Liverpool,132096,1,61,TRUE,12,0.3,2.2,0,171,6056,115,0,25
792,2016-17,Troy Deeney,FWD,119,4.8,8,Leicester,264633,5,70,TRUE,12,11.3,22.8,14,7965,40001,119,1,89
817,2016-17,Andre Gray,FWD,122,0,10,Man City,119155,0,62,TRUE,13,0,0,0,331,4148,122,0,0
819,2016-17,Andy Carroll,FWD,127,0,11,Man Utd,53768,0,62,FALSE,13,0,0,0,53,368,127,0,0
821,2016-17,Anthony Martial,FWD,127,0,20,West Ham,109619,0,93,TRUE,13,0,0,0,121,1238,127,0,0
823,2016-17,Ashley Barnes,FWD,122,5.2,10,Man City,36039,1,44,TRUE,13,10.6,3.2,38,5695,3301,122,0,11
824,2016-17,Ashley Fletcher,FWD,127,5.7,11,Man Utd,6022,1,50,FALSE,13,10.9,5.4,41,216,415,127,0,25
834,2016-17,Callum Wilson,FWD,121,5.7,1,Arsenal,125214,6,64,FALSE,13,1.6,28.2,27,1363,24010,121,2,62
837,2016-17,Charlie Austin,FWD,128,13.9,6,Everton,625503,9,68,TRUE,13,24.6,43.4,71,38126,39293,128,0,88
839,2016-17,Christian Benteke,FWD,129,14.2,16,Swansea,256587,10,75,FALSE,13,35.2,54.4,52,9220,24433,129,5,90
845,2016-17,Connor Wickham,FWD,129,2.5,16,Swansea,19572,1,56,FALSE,13,2.7,3.6,19,3147,507,129,1,51
852,2016-17,Danny Ings,FWD,126,0,15,Sunderland,10548,0,55,TRUE,13,0,0,0,21,248,126,0,0
854,2016-17,Danny Welbeck,FWD,121,0,2,Bournemouth,3264,0,74,TRUE,13,0,0,0,35,48,121,0,0
861,2016-17,Divock Origi,FWD,126,8,15,Sunderland,68273,7,65,TRUE,13,12.8,36.4,31,308,1245,126,0,57
862,2016-17,Dominic Calvert-Lewin,FWD,128,0,13,Southampton,797,0,45,FALSE,13,0,0,0,108,97,128,0,0
876,2016-17,Hal Robson-Kanu,FWD,124,0.7,7,Hull,9399,1,50,FALSE,13,0.5,0,8,652,995,124,0,8
878,2016-17,Harry Kane,FWD,123,4.8,4,Chelsea,290626,2,108,FALSE,13,23,12,13,47553,6368,123,2,90
885,2016-17,Islam Slimani,FWD,125,5,12,Middlesbrough,36304,5,83,TRUE,13,2,31.4,17,399,8968,125,1,26
897,2016-17,Jamie Vardy,FWD,125,0,12,Middlesbrough,386897,1,96,TRUE,13,0.3,0,0,7404,8343,125,1,64
900,2016-17,Jay Rodriguez,FWD,128,0,6,Everton,7549,0,63,TRUE,13,0,0,0,38,88,128,0,0
