,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,goals_conceded,minutes,goals_conceded_per_game,points_per_game,total_minutes
85,2016-17,Joe Hart,GK,45,0.0,2,Bournemouth,67895,0,53,True,5,0.0,0.0,,23,12239,0,0,0.0,0.0,0
86,2016-17,Nick Pope,GK,44,0.0,8,Leicester,86758,0,40,False,5,0.0,0.0,,766,1895,0,0,0.0,0.0,0
87,2016-17,Jack Butland,GK,47,0.0,5,Crystal Palace,82892,0,48,False,5,0.0,0.0,,74,10467,0,0,0.0,0.0,0
88,2016-17,Jordan Pickford,GK,49,0.96875,17,Spurs,338186,4,40,False,5,1.0,0.809375,,16249,4479,1,90,0.0,3.5,0
89,2016-17,Fraser Forster,GK,48,0.40625,16,Swansea,159531,7,50,True,5,0.0,0.4125,,1736,7051,0,90,1.5,2.0,360
90,2016-17,Eldin Jakupovic,GK,43,1.0,1,Arsenal,811940,7,41,True,5,0.0,1.0,,29077,8611,4,90,0.75,4.0,364
91,2016-17,David de Gea,GK,50,0.15625,18,Watford,1770015,1,55,False,5,0.0,0.153125,,19085,27143,3,90,0.75,4.0,363
92,2016-17,Darren Randolph,GK,46,0.0,19,West Brom,23813,0,45,False,5,0.0,0.0,,85,736,0,0,0.0,0.0,0
93,2016-17,Claudio Bravo,GK,45,0.265625,2,Bournemouth,40608,6,55,True,5,0.0,0.2625,,14200,2189,0,90,0.0,2.0,0
94,2016-17,Ben Foster,GK,46,0.40625,20,West Ham,627121,2,47,True,5,0.0,0.4,,37407,9504,2,90,0.75,5.25,362
95,2016-17,Alex McCarthy,GK,48,0.0,16,Swansea,8441,0,45,True,5,0.0,0.0,,31,320,0,0,0.0,0.0,0
96,2016-17,Adrián San Miguel del Castillo,GK,46,0.21874999999999997,19,West Brom,136616,0,50,False,5,0.0,0.2125,,2452,7147,4,90,2.25,3.5,364
97,2016-17,Wayne Hennessey,GK,47,0.0,14,Stoke,133094,0,45,True,5,0.0,0.0,,543,8564,0,0,1.0,2.5,180
98,2016-17,Hugo Lloris,GK,49,0.203125,15,Sunderland,167976,6,54,True,5,0.0,0.2,,12739,2706,0,90,0.7258064516129032,4.0,124
99,2016-17,Willy Caballero,GK,45,0.0,2,Bournemouth,23396,0,50,True,5,0.0,0.0,,602,4997,0,0,1.0,2.0,270
100,2016-17,Jack Butland,GK,56,0.0,19,West Brom,71958,0,48,True,6,,0.0,,74,11163,0,0,0.0,0.0,0
101,2016-17,Alex McCarthy,GK,59,0.0,20,West Ham,8160,0,44,False,6,,0.0,,62,430,0,0,0.0,0.0,0
102,2016-17,Willy Caballero,GK,58,0.0,16,Swansea,20143,0,50,False,6,,0.0,,328,3743,0,0,1.0,2.0,270
103,2016-17,Wayne Hennessey,GK,57,0.0,15,Sunderland,119319,0,45,False,6,,0.0,,407,14451,0,0,1.0,2.5,180
104,2016-17,Tom Heaton,GK,60,0.5416666666666667,18,Watford,307225,7,46,True,6,,0.5477178423236514,,10323,17245,0,90,1.6,4.2,450
105,2016-17,Sergio Romero,GK,54,0.0,8,Leicester,4944,0,49,True,6,,0.0,,49,210,0,0,0.0,0.0,0
106,2016-17,Paulo Gazzaniga,GK,59,0.0,20,West Ham,296,0,45,False,6,,0.0,,1,18,0,0,0.0,0.0,0
107,2016-17,Nick Pope,GK,60,0.0,18,Watford,84711,0,40,True,6,,0.0,,1157,3663,0,0,0.0,0.0,0
108,2016-17,Lee Grant,GK,56,0.2916666666666667,19,West Brom,3232,2,40,True,6,,0.2904564315352697,,878,210,1,90,0.0,0.0,0
109,2016-17,Kasper Schmeichel,GK,54,0.0,11,Man Utd,397462,0,50,False,6,,0.0,,1239,54597,0,0,1.656441717791411,3.25,326
110,2016-17,Jordan Pickford,GK,57,0.3958333333333333,5,Crystal Palace,397425,1,40,True,6,,0.3941908713692946,,58597,7011,3,90,0.0,3.6666666666666665,0
