,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,fixture,goals_conceded,minutes
1698,2016-17,Eldin Jakupovic,GK,170,0,20,West Ham,772191,0,39,FALSE,17,0,0,0,5566,12855,170,0,0
1706,2016-17,Fraser Forster,GK,161,2.9,2,Bournemouth,227901,3,51,FALSE,17,0,29.4,0,10080,2160,161,1,90
1717,2016-17,Hugo Lloris,GK,168,1.1,3,Burnley,322228,2,55,TRUE,17,0,10.6,0,18000,3131,168,1,90
1721,2016-17,Jack Butland,GK,166,0,8,Leicester,45600,0,46,TRUE,17,0,0,0,69,1074,166,0,0
1741,2016-17,Joe Hart,GK,164,0,1,Arsenal,47252,0,53,TRUE,17,0,0,0,8,296,164,0,0
1748,2016-17,Jordan Pickford,GK,167,3.5,18,Watford,649301,8,42,TRUE,17,10,24.6,0,8334,4210,167,0,90
1753,2016-17,Kasper Schmeichel,GK,166,3.5,14,Stoke,244905,2,49,FALSE,17,0,34.8,0,184,4917,166,2,90
1761,2016-17,Lee Grant,GK,166,4.1,8,Leicester,225803,3,43,TRUE,17,0,41.4,0,31651,1410,166,2,90
1762,2016-17,Lukasz Fabianski,GK,165,0.7,12,Middlesbrough,186162,1,49,FALSE,17,0,7.4,0,672,3866,165,3,90
1791,2016-17,Nick Pope,GK,168,0,17,Spurs,78817,0,40,FALSE,17,0,0,0,135,500,168,0,0
1801,2016-17,Paulo Gazzaniga,GK,161,0,2,Bournemouth,291,0,45,FALSE,17,0,0,0,1,4,161,0,0
1826,2016-17,Sergio Romero,GK,169,0,19,West Brom,5342,0,47,FALSE,17,0,0,0,16,63,169,0,0
1835,2016-17,Tom Heaton,GK,168,4.1,17,Spurs,585303,3,48,FALSE,17,0,41,0,15808,4244,168,2,90
1840,2016-17,Wayne Hennessey,GK,162,4.1,4,Chelsea,87005,3,43,TRUE,17,0,40.8,0,500,1176,162,1,90
1844,2016-17,Willy Caballero,GK,164,0,1,Arsenal,14901,0,48,TRUE,17,0,0,0,12,146,164,0,0
1855,2016-17,Adrián San Miguel del Castillo,GK,179,0,16,Swansea,88261,0,48,FALSE,18,0,0,0,164,3710,179,0,0
1858,2016-17,Alex McCarthy,GK,178,0,17,Spurs,6352,0,44,TRUE,18,0,0,0,9,102,178,0,0
1875,2016-17,Ben Foster,GK,171,7.2,1,Arsenal,649008,5,47,FALSE,18,0,69.6,2,2382,18435,171,1,90
1890,2016-17,Claudio Bravo,GK,174,1.1,7,Hull,81804,6,53,FALSE,18,0,10.8,0,1555,3653,174,0,90
1902,2016-17,Darren Randolph,GK,179,3.9,16,Swansea,34948,4,44,FALSE,18,0,39.2,0,4773,989,179,1,90
1903,2016-17,David de Gea,GK,177,1.9,15,Sunderland,1512429,3,54,TRUE,18,0,18.6,0,18832,12353,177,1,90
1911,2016-17,Eldin Jakupovic,GK,174,0,10,Man City,776344,0,39,TRUE,18,0,0,0,11026,10818,174,0,0
1919,2016-17,Fraser Forster,GK,178,0.5,17,Spurs,228445,0,51,TRUE,18,0,4.6,0,5208,5854,178,4,90
1930,2016-17,Hugo Lloris,GK,178,0.5,13,Southampton,318763,2,55,FALSE,18,0,4.6,0,3721,9448,178,1,90
1934,2016-17,Jack Butland,GK,176,0,9,Liverpool,44225,0,46,FALSE,18,0,0,0,67,1530,176,0,0
1954,2016-17,Joe Hart,GK,174,0,7,Hull,46959,0,53,FALSE,18,0,0,0,25,383,174,0,0
1961,2016-17,Jordan Pickford,GK,177,4.9,11,Man Utd,665674,3,42,FALSE,18,10,39.4,0,17980,4959,177,3,90
1966,2016-17,Kasper Schmeichel,GK,175,0.7,6,Everton,244314,1,49,TRUE,18,0,6.6,0,1154,2538,175,2,90
1974,2016-17,Lee Grant,GK,176,1.4,9,Liverpool,243213,0,43,FALSE,18,0,14,0,18666,5854,176,4,90
1975,2016-17,Lukasz Fabianski,GK,179,1.6,20,West Ham,181220,1,49,TRUE,18,0,15.8,0,533,5771,179,4,90
2004,2016-17,Nick Pope,GK,172,0,12,Middlesbrough,78375,0,40,TRUE,18,0,0,0,134,648,172,0,0
2014,2016-17,Paulo Gazzaniga,GK,178,0,17,Spurs,289,0,45,TRUE,18,0,0,0,3,5,178,0,0
2039,2016-17,Sergio Romero,GK,177,0,15,Sunderland,5379,0,47,TRUE,18,0,0,0,29,81,177,0,0
2048,2016-17,Tom Heaton,GK,172,1.5,12,Middlesbrough,609803,9,48,TRUE,18,0.1,14.8,0,25796,5765,172,0,90
2053,2016-17,Wayne Hennessey,GK,180,1.4,18,Watford,87886,2,43,FALSE,18,0,14,0,1796,1270,180,1,90
2057,2016-17,Willy Caballero,GK,174,0,7,Hull,14785,0,48,FALSE,18,0,0,0,23,195,174,0,0
2068,2016-17,Adrián San Miguel del Castillo,GK,185,0,8,Leicester,85855,0,47,FALSE,19,0,0,0,212,2719,185,0,0
2071,2016-17,Alex McCarthy,GK,188,0,19,West Brom,6275,0,43,TRUE,19,0,0,0,18,100,188,0,0
2088,2016-17,Ben Foster,GK,188,0.2,13,Southampton,655932,2,47,FALSE,19,0,1.6,0,13649,7885,188,1,90
2103,2016-17,Claudio Bravo,GK,186,0.2,9,Liverpool,79484,2,53,FALSE,19,0,2.4,0,778,3501,186,1,90
2115,2016-17,Darren Randolph,GK,185,3.2,8,Leicester,43205,3,44,FALSE,19,0,31.6,0,8636,950,185,1,90
2116,2016-17,David de Gea,GK,187,0.6,12,Middlesbrough,1509047,2,54,TRUE,19,0,5.8,0,10991,18780,187,1,90
