,season_x,name,position,fixture,ict_index,opponent_team,opp_team_name,selected,total_points,value,was_home,GW,creativity,influence,threat,transfers_in,transfers_out,goals_conceded,minutes,goals_conceded_per_game,points_per_game,total_minutes
71,2016-17,Jay Rodriguez,FWD,26,0.452991452991453,15,Sunderland,13250,8,64,True,3,0.025210084033613446,0.8669950738916257,0.22535211267605634,234,2426,1,17,0.0,1.0,0
72,2016-17,Lys Mousset,FWD,22,0.0,5,Crystal Palace,2192,0,54,False,3,0.0,0.0,0.0,70,555,0,0,0.0,0.0,0
73,2016-17,Harry Kane,FWD,27,0.1623931623931624,9,Liverpool,516298,2,109,True,3,0.1781512605042017,0.04926108374384236,0.08450704225352113,6334,131037,1,82,0.5027932960893855,3.5,180
74,2016-17,Andre Gray,FWD,21,0.15384615384615385,4,Chelsea,401127,2,65,False,3,0.24201680672268908,0.08374384236453201,0.0,57189,40874,3,90,0.5,6.0,183
75,2016-17,Andy Carroll,FWD,29,0.0,10,Man City,120619,0,64,False,3,0.0,0.0,0.0,2435,183862,0,0,2.0,2.0,90
76,2016-17,Anthony Martial,FWD,24,0.33333333333333337,7,Hull,322896,1,95,False,3,0.47058823529411764,0.13793103448275862,0.07042253521126761,31992,42605,0,59,0.5454545454545455,7.0,165
77,2016-17,Ashley Barnes,FWD,21,0.0,4,Chelsea,3492,0,45,False,3,0.0,0.0,0.0,105,707,0,0,0.0,0.0,0
78,2016-17,Jamie Vardy,FWD,25,0.6752136752136753,16,Swansea,642576,8,99,True,3,0.08403361344537816,0.8965517241379309,0.5352112676056338,8175,194588,1,90,1.0,2.0,181
79,2016-17,Callum Wilson,FWD,22,0.26495726495726496,5,Crystal Palace,85527,2,64,False,3,0.04033613445378151,0.0,0.4084507042253521,4196,19955,0,70,1.9285714285714286,2.0,140
80,2016-17,Charlie Austin,FWD,26,0.08547008547008547,15,Sunderland,36219,2,63,True,3,0.018487394957983194,0.0,0.14084507042253522,1261,15290,0,73,0.0,1.0,32
81,2016-17,Ashley Fletcher,FWD,29,0.02564102564102564,10,Man City,1089,1,50,False,3,0.04873949579831933,0.0,0.15492957746478872,629,89,3,90,0.0,1.0,14
82,2016-17,Christian Benteke,FWD,22,0.47008547008547014,2,Bournemouth,119733,2,74,True,3,0.5025210084033613,0.0,0.36619718309859156,39866,8877,1,90,0.0,0.0,0
